Legajo;Genero;Yr_ingreso;Yr_nacimiento;Edad_hoy;Edad_al_ingreso;Cantidad_de_hijos;Distancia_al_trabajo;Trabajo_flexible;Egreso_de_la_empresa;Nivel_formacion
136335;Mujer;2008;1983;36;25;0;70.00;Si;No;Uni com
136336;Hombre;2008;1984;35;24;0;45.00;No;No;Prim com
136337;Hombre;2008;1983;36;25;0;17.00;No;No;Uni com
136338;Hombre;2008;1981;38;27;2;70.00;Si;Si;Prim inc
136339;Hombre;2008;1980;39;28;4;11.00;Si;Si;Sec com
136340;Hombre;2008;1974;45;34;3;13.00;No;Si;Prim inc
136341;Mujer;2008;1984;35;24;0;43.00;No;Si;Prim inc
136342;Hombre;2008;1979;40;29;0;13.00;No;Si;Sec com
136343;Mujer;2008;1984;35;24;0;;Si;No;Uni com
136344;Mujer;2008;1980;39;28;3;57.00;Si;No;Uni com
136345;Hombre;2008;1974;45;34;3;35.00;No;Si;Sec com
136346;Hombre;2008;1984;35;24;1;69.00;Si;Si;Prim inc
136347;Hombre;2008;1971;48;37;1;43.00;Si;Si;Sec com
136348;Hombre;2008;1981;38;27;1;67.00;Si;Si;Prim com
136349;Hombre;2008;1981;38;27;2;29.00;Si;Si;Uni com
136350;Hombre;2008;1972;47;36;3;2.00;No;Si;Sec com
136351;Mujer;2008;1984;35;24;3;50.00;Si;No;Prim com
136352;Hombre;2008;1986;33;22;1;2.00;No;Si;Sec com
136353;Mujer;2008;1971;48;37;3;57.00;Si;No;Sec com
136354;Hombre;2008;1979;40;29;3;29.00;Si;Si;Uni com
136355;Mujer;2008;1982;37;26;2;11.00;No;Si;Sec com
136356;Mujer;2008;1983;36;25;2;48.00;No;Si;Prim com
136357;Hombre;2008;1981;38;27;2;;Si;Si;Prim com
136358;Mujer;2008;1972;47;36;2;65.00;No;Si;Prim com
136359;Hombre;2008;1972;47;36;2;56.00;No;No;Prim com
136360;Mujer;2008;1978;41;30;1;43.00;No;Si;Uni com
136361;Mujer;2008;1979;40;29;4;70.00;Si;No;Prim inc
136362;Hombre;2008;1978;41;30;2;9.00;No;Si;Prim inc
136363;Hombre;2008;1985;34;23;0;34.00;No;No;Prim inc
136364;Hombre;2008;1984;35;24;1;38.00;Si;Si;Sec com
136365;Hombre;2008;1983;36;25;0;58.00;Si;Si;Uni com
136366;Hombre;2008;1971;48;37;4;18.00;Si;Si;Sec com
136367;Hombre;2008;1978;41;30;4;25.00;No;Si;Prim inc
136368;Hombre;2008;1984;35;24;0;51.00;Si;Si;Uni com
136369;Hombre;2008;1984;35;24;0;71.00;No;Si;Prim com
136370;Hombre;2008;1981;38;27;1;62.00;No;Si;Uni com
136371;Hombre;2008;1983;36;25;3;16.00;Si;Si;Uni com
136372;Mujer;2008;1979;40;29;3;36.00;Si;No;Sec com
136373;Hombre;2008;1975;44;33;4;13.00;Si;Si;Prim com
136374;Mujer;2008;1975;44;33;1;73.00;Si;No;Prim inc
136375;Hombre;2008;1971;48;37;2;;Si;Si;Prim inc
136376;Hombre;2008;1986;33;22;0;54.00;No;Si;Sec com
136377;Hombre;2008;1983;36;25;0;29.00;No;Si;Sec com
136378;Hombre;2008;1977;42;31;1;22.00;Si;Si;Sec com
136379;Hombre;2008;1983;36;25;2;41.00;No;Si;Prim com
136380;Hombre;2008;1986;33;22;0;24.00;No;Si;Prim com
136381;Hombre;2008;1972;47;36;2;11.00;Si;Si;Uni com
136382;Hombre;2008;1979;40;29;3;71.00;No;No;Prim com
136383;Hombre;2008;1977;42;31;1;38.00;Si;Si;Prim com
136384;Hombre;2008;1981;38;27;2;59.00;No;No;Uni com
136385;Hombre;2008;1986;33;22;1;14.00;No;No;Prim inc
136386;Hombre;2008;1979;40;29;3;27.00;Si;Si;Prim com
136387;Hombre;2008;1979;40;29;4;29.00;Si;Si;Sec com
136388;Mujer;2008;1980;39;28;0;53.00;No;No;Prim com
136389;Hombre;2008;1982;37;26;4;22.00;No;Si;Uni com
136390;Hombre;2008;1986;33;22;0;18.00;No;Si;Uni com
136391;Hombre;2008;1981;38;27;1;21.00;No;Si;Prim inc
136392;Hombre;2008;1981;38;27;0;64.00;Si;Si;Sec com
136393;Mujer;2008;1972;47;36;4;30.00;Si;Si;Prim inc
