Id	Satisfy
1      satisfied
2      satisfied
3      satisfied
4      satisfied
5      satisfied
6      satisfied
7      satisfied
8      satisfied
9      satisfied
10      satisfied
11      satisfied
12      satisfied
13      satisfied
14      satisfied
15      satisfied
16      satisfied
17      satisfied
18      satisfied
19      satisfied
20      satisfied
21      satisfied
22      satisfied
23      satisfied
24      satisfied
25      satisfied
26      satisfied
27      satisfied
28      satisfied
29      satisfied
30      satisfied
31      satisfied
32      satisfied
33      satisfied
34      satisfied
35      satisfied
36      satisfied
37      satisfied
38      satisfied
39      satisfied
40      satisfied
41      satisfied
42      satisfied
43      satisfied
44      satisfied
45      satisfied
46      satisfied
47      satisfied
48      satisfied
49      satisfied
50      satisfied
51      satisfied
52      satisfied
53      satisfied
54      satisfied
55      satisfied
56      satisfied
57      satisfied
58      satisfied
59      satisfied
60      satisfied
61      satisfied
62      satisfied
63      satisfied
64      satisfied
65      satisfied
66      satisfied
67      satisfied
68      satisfied
69      satisfied
70      satisfied
71      satisfied
72      satisfied
73      satisfied
74      unsatisfied
75      unsatisfied
76      unsatisfied
77      unsatisfied
78      unsatisfied
79      unsatisfied
80      unsatisfied
81      unsatisfied
82      unsatisfied
83      unsatisfied
84      unsatisfied
85      unsatisfied
86      unsatisfied
87      unsatisfied
88      unsatisfied
89      unsatisfied
90      unsatisfied
91      unsatisfied
92      unsatisfied
93      unsatisfied
94      unsatisfied
95      unsatisfied
96      unsatisfied
97      unsatisfied
98      unsatisfied
99      unsatisfied
100     unsatisfied
