Location	Salary
Factory1	57100
Factory1	81300
Factory1	83100
Factory1	97600
Factory1	81700
Factory1	85900
Factory1	73500
Factory1	65900
Factory1	92300
Factory1	83600
Factory2	87300
Factory2	66200
Factory2	67200
Factory2	81900
Factory2	74900
Factory2	64900
Factory2	83500
Factory2	72500
Factory3	97400
Factory3	135200
Factory3	81700
Factory3	101600
Factory3	96800
Factory3	106400
Factory3	105000
Factory4	103300
Factory4	91500
Factory4	78100
Factory4	68500
Factory4	67700
Factory4	69700
Factory4	76400
Factory4	68900
Factory5	70300
Factory5	102600
Factory5	95600
Factory5	97300
Factory5	103900
Factory5	104500
